id,type,amount,description,timestamp
0,POWER_MAINTENANCE,100.0,Planta Electrica,2026-05-21T11:08:45.897161100
0,POWER_MAINTENANCE,100.0,Planta Electrica,2026-05-21T11:08:45.930558600
0,POWER_MAINTENANCE,100.0,Planta Electrica,2026-05-21T11:08:45.950565800
0,STORM_OPERATION,500.0,Tormenta fuerte obliga a evacuar zonas del parque,2026-05-21T11:08:45.950565800
0,STORM_OPERATION,500.0,Tormenta fuerte obliga a evacuar zonas del parque,2026-05-21T11:08:45.952577400
0,POWER_FAILURE,500.0,Planta Electrica,2026-05-21T11:08:45.953588400
0,BLACKOUT_OPERATION,2000.0,Falla electrica general en el parque,2026-05-21T11:08:45.955593300
0,POWER_MAINTENANCE,100.0,Planta Electrica,2026-05-21T11:08:45.979133500
0,STORM_OPERATION,500.0,Tormenta fuerte obliga a evacuar zonas del parque,2026-05-21T11:08:45.980138
0,POWER_MAINTENANCE,100.0,Planta Electrica,2026-05-21T11:08:46.013674500
0,POWER_MAINTENANCE,100.0,Planta Electrica,2026-05-21T11:08:46.046664400
0,POWER_MAINTENANCE,100.0,Planta Electrica,2026-05-21T11:08:46.076668700
0,STORM_OPERATION,500.0,Tormenta fuerte obliga a evacuar zonas del parque,2026-05-21T11:08:46.077672500
0,POWER_FAILURE,500.0,Planta Electrica,2026-05-21T11:08:46.077672500
0,BLACKOUT_OPERATION,2000.0,Falla electrica general en el parque,2026-05-21T11:08:46.078674400
0,POWER_MAINTENANCE,100.0,Planta Electrica,2026-05-21T11:08:46.114220600
0,POWER_MAINTENANCE,100.0,Planta Electrica,2026-05-21T11:08:46.148230100
0,POWER_MAINTENANCE,100.0,Planta Electrica,2026-05-21T11:08:46.188229600
