id,type,amount,touristId,zone,timestamp
1,TICKET,30.0,1,Llegada,2026-05-21T13:08:57.749543100
2,TICKET,30.0,2,Llegada,2026-05-21T13:08:57.755079200
3,TICKET,30.0,3,Llegada,2026-05-21T13:08:57.756095300
4,TICKET,30.0,4,Llegada,2026-05-21T13:08:57.756095300
5,TICKET,30.0,5,Llegada,2026-05-21T13:08:57.757123200
0,ENCLOSURE,45.0,1,Recinto Premium,2026-05-21T13:08:57.758090
0,ENCLOSURE,80.0,2,Recinto VIP,2026-05-21T13:08:57.760095100
0,ENCLOSURE,20.0,3,Recinto Basico,2026-05-21T13:08:57.761097300
0,ENCLOSURE,45.0,4,Recinto Premium,2026-05-21T13:08:57.762092500
0,ENCLOSURE,80.0,5,Recinto VIP,2026-05-21T13:08:57.762092500
6,TICKET,30.0,6,Llegada,2026-05-21T13:08:57.779089100
7,TICKET,30.0,7,Llegada,2026-05-21T13:08:57.780092300
8,TICKET,30.0,8,Llegada,2026-05-21T13:08:57.781092500
9,TICKET,30.0,9,Llegada,2026-05-21T13:08:57.782097800
10,TICKET,30.0,10,Llegada,2026-05-21T13:08:57.782097800
0,SOUVENIR,25.0,2,Centro del Parque,2026-05-21T13:08:57.783090700
0,ENCLOSURE,80.0,2,Recinto VIP,2026-05-21T13:08:57.784090
0,SOUVENIR,25.0,3,Centro del Parque,2026-05-21T13:08:57.784090
0,ENCLOSURE,20.0,3,Recinto Basico,2026-05-21T13:08:57.785090400
0,SPA,15.0,4,Banos,2026-05-21T13:08:57.785090400
0,ENCLOSURE,45.0,4,Recinto Premium,2026-05-21T13:08:57.785090400
0,SPA,15.0,5,Banos,2026-05-21T13:08:57.786088100
0,ENCLOSURE,80.0,5,Recinto VIP,2026-05-21T13:08:57.787088700
0,SOUVENIR,25.0,6,Centro del Parque,2026-05-21T13:08:57.787088700
0,SPA,15.0,6,Banos,2026-05-21T13:08:57.788442100
0,ENCLOSURE,20.0,6,Recinto Basico,2026-05-21T13:08:57.789089400
0,ENCLOSURE,45.0,7,Recinto Premium,2026-05-21T13:08:57.789089400
0,ENCLOSURE,80.0,8,Recinto VIP,2026-05-21T13:08:57.790288700
0,ENCLOSURE,20.0,9,Recinto Basico,2026-05-21T13:08:57.790288700
0,SOUVENIR,25.0,10,Centro del Parque,2026-05-21T13:08:57.791303600
0,ENCLOSURE,45.0,10,Recinto Premium,2026-05-21T13:08:57.791812900
11,TICKET,30.0,11,Llegada,2026-05-21T13:08:57.794347700
12,TICKET,30.0,12,Llegada,2026-05-21T13:08:57.795878200
13,TICKET,30.0,13,Llegada,2026-05-21T13:08:57.795878200
14,TICKET,30.0,14,Llegada,2026-05-21T13:08:57.796893400
15,TICKET,30.0,15,Llegada,2026-05-21T13:08:57.796893400
0,ENCLOSURE,80.0,2,Recinto VIP,2026-05-21T13:08:57.797889100
0,SOUVENIR,25.0,3,Centro del Parque,2026-05-21T13:08:57.797889100
0,SPA,15.0,3,Banos,2026-05-21T13:08:57.797889100
0,ENCLOSURE,20.0,3,Recinto Basico,2026-05-21T13:08:57.798888400
0,ENCLOSURE,45.0,4,Recinto Premium,2026-05-21T13:08:57.799890100
0,SOUVENIR,25.0,5,Centro del Parque,2026-05-21T13:08:57.799890100
0,ENCLOSURE,80.0,5,Recinto VIP,2026-05-21T13:08:57.799890100
0,ENCLOSURE,20.0,6,Recinto Basico,2026-05-21T13:08:57.800887400
0,ENCLOSURE,45.0,7,Recinto Premium,2026-05-21T13:08:57.801895900
0,ENCLOSURE,80.0,8,Recinto VIP,2026-05-21T13:08:57.801895900
0,SOUVENIR,25.0,9,Centro del Parque,2026-05-21T13:08:57.802893900
0,ENCLOSURE,20.0,9,Recinto Basico,2026-05-21T13:08:57.802893900
0,ENCLOSURE,45.0,10,Recinto Premium,2026-05-21T13:08:57.803890200
0,SOUVENIR,25.0,11,Centro del Parque,2026-05-21T13:08:57.803890200
0,SPA,15.0,11,Banos,2026-05-21T13:08:57.804890100
0,ENCLOSURE,80.0,11,Recinto VIP,2026-05-21T13:08:57.804890100
0,ENCLOSURE,20.0,12,Recinto Basico,2026-05-21T13:08:57.805891300
0,ENCLOSURE,45.0,13,Recinto Premium,2026-05-21T13:08:57.805891300
0,SOUVENIR,25.0,14,Centro del Parque,2026-05-21T13:08:57.806893800
0,ENCLOSURE,80.0,14,Recinto VIP,2026-05-21T13:08:57.807892
0,ENCLOSURE,20.0,15,Recinto Basico,2026-05-21T13:08:57.807892
16,TICKET,30.0,16,Llegada,2026-05-21T13:08:57.815896200
17,TICKET,30.0,17,Llegada,2026-05-21T13:08:57.815896200
18,TICKET,30.0,18,Llegada,2026-05-21T13:08:57.816892
19,TICKET,30.0,19,Llegada,2026-05-21T13:08:57.816892
20,TICKET,30.0,20,Llegada,2026-05-21T13:08:57.817890200
0,ENCLOSURE,80.0,2,Recinto VIP,2026-05-21T13:08:57.817890200
0,SOUVENIR,25.0,3,Centro del Parque,2026-05-21T13:08:57.818892
0,ENCLOSURE,20.0,3,Recinto Basico,2026-05-21T13:08:57.818892
0,ENCLOSURE,45.0,4,Recinto Premium,2026-05-21T13:08:57.819892
0,ENCLOSURE,80.0,5,Recinto VIP,2026-05-21T13:08:57.819892
0,ENCLOSURE,20.0,6,Recinto Basico,2026-05-21T13:08:57.820893200
0,ENCLOSURE,45.0,7,Recinto Premium,2026-05-21T13:08:57.820893200
0,ENCLOSURE,80.0,8,Recinto VIP,2026-05-21T13:08:57.821907300
0,ENCLOSURE,20.0,9,Recinto Basico,2026-05-21T13:08:57.822907300
0,SOUVENIR,25.0,10,Centro del Parque,2026-05-21T13:08:57.822907300
0,ENCLOSURE,45.0,10,Recinto Premium,2026-05-21T13:08:57.823906300
0,SOUVENIR,25.0,11,Centro del Parque,2026-05-21T13:08:57.823906300
0,ENCLOSURE,80.0,11,Recinto VIP,2026-05-21T13:08:57.824903400
0,ENCLOSURE,20.0,12,Recinto Basico,2026-05-21T13:08:57.824903400
0,ENCLOSURE,45.0,13,Recinto Premium,2026-05-21T13:08:57.825902300
0,ENCLOSURE,80.0,14,Recinto VIP,2026-05-21T13:08:57.825902300
0,ENCLOSURE,20.0,15,Recinto Basico,2026-05-21T13:08:57.826904900
0,SOUVENIR,25.0,16,Centro del Parque,2026-05-21T13:08:57.826904900
0,ENCLOSURE,45.0,16,Recinto Premium,2026-05-21T13:08:57.827902700
0,SOUVENIR,25.0,17,Centro del Parque,2026-05-21T13:08:57.828902700
0,ENCLOSURE,80.0,17,Recinto VIP,2026-05-21T13:08:57.828902700
0,SOUVENIR,25.0,18,Centro del Parque,2026-05-21T13:08:57.829905900
0,ENCLOSURE,20.0,18,Recinto Basico,2026-05-21T13:08:57.829905900
0,ENCLOSURE,45.0,19,Recinto Premium,2026-05-21T13:08:57.830904500
0,SOUVENIR,25.0,20,Centro del Parque,2026-05-21T13:08:57.830904500
0,ENCLOSURE,80.0,20,Recinto VIP,2026-05-21T13:08:57.831901300
21,TICKET,30.0,21,Llegada,2026-05-21T13:08:57.837947800
22,TICKET,30.0,22,Llegada,2026-05-21T13:08:57.838949600
23,TICKET,30.0,23,Llegada,2026-05-21T13:08:57.839948300
24,TICKET,30.0,24,Llegada,2026-05-21T13:08:57.839948300
25,TICKET,30.0,25,Llegada,2026-05-21T13:08:57.840958800
0,SOUVENIR,25.0,2,Centro del Parque,2026-05-21T13:08:57.841958200
0,ENCLOSURE,80.0,2,Recinto VIP,2026-05-21T13:08:57.842960800
0,SOUVENIR,25.0,3,Centro del Parque,2026-05-21T13:08:57.843965100
0,ENCLOSURE,20.0,3,Recinto Basico,2026-05-21T13:08:57.843965100
0,ENCLOSURE,45.0,4,Recinto Premium,2026-05-21T13:08:57.844963800
0,SOUVENIR,25.0,5,Centro del Parque,2026-05-21T13:08:57.844963800
0,SPA,15.0,5,Banos,2026-05-21T13:08:57.845960100
0,ENCLOSURE,80.0,5,Recinto VIP,2026-05-21T13:08:57.846962900
0,ENCLOSURE,20.0,6,Recinto Basico,2026-05-21T13:08:57.847961500
